"PLOS"	"Zootaxa"	"BMC"
50780	37810	187781
50858	37910	188004
50906	37924	188032
51075	38025	188195
51121	38157	188363
51264	38219	188938
51264	38253	189213
51430	38263	189306
51506	38285	189759
51506	38291	190040
51510	38612	190075
51510	39099	190252
51513	39134	190595
51513	39137	190607
51525	39282	190743
51529	39283	190948
51792	39411	191455
51820	39452	191745
51826	39499	191834
51862	39535	191916
51898	39583	191987
51978	39589	192127
52002	39861	192239
52040	39957	192470
52086	39957	192607
52088	40038	193083
52175	40047	193277
52333	40058	193501
52380	40266	194504
52409	40458	194540
52501	40509	195023
52529	40561	195321
52548	40813	195634
52585	40985	195657
52612	41154	195913
52617	41270	195973
52626	41291	196223
52627	41303	196272
52627	41334	198219
52651	41361	198731
52672	41410	198847
52746	41539	199462
52761	41592	199982
52794	41655	200136
52794	41660	200372
52812	41722	200711
52817	41794	200829
52849	41986	201029
52852	42067	201237
52873	42078	201449
52940	42240	201577
52988	42254	201771
52988	42386	202091
52995	42610	202350
53038	42677	202877
53089	42709	202961
53089	43112	203307
53089	43160	203464
53149	43401	203602
53215	43520	203688
53227	43547	203729
53227	43650	204149
53269	43864	204755
53299	43888	205219
53341	43920	205837
53453	43941	206033
53456	44083	206500
53511	44247	207614
53540	44650	208309
53612	44779	209009
53743	44812	209687
53745	44882	210092
53782	44913	210315
53782	44928	210394
53782	45103	211028
53794	45261	211148
53794	45382	211365
53804	45523	211757
53869	45575	211826
53869	45628	212164
53869	45834	212646
53869	45883	212796
53935	45887	214068
54052	45908	214476
54087	45938	214746
54119	45997	214758
54194	46258	214814
54202	46450	214834
54243	46452	214853
54255	46688	215016
54313	46787	215369
54313	46949	215532
54313	46972	215934
54316	47029	216088
54373	47215	216230
54448	47340	216320
54774	47638	216820
54819	47664	216839
54833	47865	216960
54840	47996	217819
54840	48069	218039
54840	48122	218331
54840	48191	218420
54848	48332	219153
54853	48390	220001
54863	48550	220828
54907	48585	221080
54907	48610	221159
54932	48639	221170
55112	48939	221471
55148	49288	221698
55163	49651	221768
55170	49678	221926
55171	49694	222055
55235	49811	222366
55279	49845	222613
55282	49860	222776
55342	49870	222871
55342	49924	222900
55417	50076	223641
55479	50170	224033
55531	50275	224155
55554	50277	224249
55609	50422	224419
55609	50765	224420
55652	50895	224897
55684	51517	224898
55711	51932	225176
55748	51961	225237
55752	51998	225510
55754	52022	225583
55795	52087	225848
55795	52209	226292
55855	52284	227233
55859	52473	227246
55939	52644	227269
55947	52648	227349
55947	52713	227374
55969	52718	227563
