"Treebase ID"	"Authors"	"Year"	"Title"	"Journal"	"Zootaxa paper identifier"	"TreeBASE ID number given in paper"	"Mentions TreeBASE in paper (0=no)"	"Corresponding data can be found in TreeBASE"	"Notes"
" S10202"	" Heinicke M., Duellman W., Trueb L. , et al."	2009	"A new frog family (Anura: Terrarana) from South America and an expanded direct-developing clade revealed by molecular phylogeny."	" Zootaxa"	"zt02211p035"		1	1	
" S13152"	" Mcdonald A.T., Barrett P.M., Chapman S.D."	2010	"A new basal iguanodont (Dinosauria: Ornithischia) from the Wealden (Lower Cretaceous) of England"	" Zootaxa"			0	1	"Just not mentioned in paper at time?"
" S13168"	" Prieto-márquez A."	2010	"Glishades ericksoni, a new hadrosauroid (Dinosauria: Ornithopoda) from the Late Cretaceous of North America."	" Zootaxa"			0	1	"Just not mentioned in paper at time?"
" S13206"	" Bittencourt J.S., Kellner A.W."	2010	"The anatomy and phylogenetic position of the Triassic dinosaur Staurikosaurus pricei."	" Zootaxa"			0	1	"Just not mentioned in paper at time?"
" S11498"	" Rodriguez C.S., Marques A., Stampar S.N. , et al."	2011	"The Taxonomic Position of the Pelagic ‘Staurozoan’ Tessera Gemmaria as a Ceriantharian Larva."	" Zootaxa"	"zt02971p058"	"http://purl.org/phylo/treebase/phylows/study/TB2:S11498"	1	1	
" S12033"	" Gonzalez marquez M.E., Ramirez M.J."	2011	"A revision and phylogenetic analysis of the spider genus Aysenia Tullgren (Araneae: Anyphaenidae, Amaurobioidinae)"	" Zootaxa"	"zt03201p026"	"http://purl.org/phylo/treebase/phylows/study/TB2:S12033"	1	1	
" S13068"	" Mcdonald A.T."	2011	"The taxonomy of species assigned to Camptosaurus (Dinosauria: Ornithopoda)."	" Zootaxa"			0	1	"Just not mentioned in paper at time?"
" S13083"	" Santucci R.M., De arruda-campos A.C."	2011	"A new sauropod (Macronaria, Titanosauria) from the Adamantina Formation, Bauru Group, Upper Cretaceous of Brazil and the phylogenetic relationships of Aeolosaurini."	" Zootaxa"			0	1	"Just not mentioned in paper at time?"
" S12227"	" Labarque F.M., Ramirez M.J."	2012	"The placement of the spider genus Periegops and the phylogeny of Scytodoidea (Araneae: Araneomorphae)"	" Zootaxa"	"zt03312p044"	12227	1	1	
" S12443"	" Simões F.L., Ferrari A., Grazia J."	2012	"Is Elsiella Froeschner, 1981 a valid genus? (Hemiptera: Heteroptera: Pentatomidae: Pentatominae)"	" Zootaxa"	"zt03238p048"	12443	1	1	
" S12571"	" Soto E.M., Ramirez M.J."	2012	"Revision and phylogenetic analysis of the spider genus Philisca Simon (Araneae: Anyphaenidae, Amaurobioidinae)"	" Zootaxa"	"zt03443p065"	12571	1	1	
" S12795"	" Dohrmann M., Goecke C., Reed J. , et al."	2012	"Integrative taxonomy justifies a new genus, Nodastrella gen. nov., for North Atlantic Rossella species (Porifera: Hexactinellida: Rossellidae)"	" Zootaxa"	"zt03383p013"	12795	1	1	
" S13082"	" Schmidt C.A."	2013	"Molecular phylogenetics of ponerine ants (Hymenoptera: Formicidae: Ponerinae)"	" Zootaxa"	"zt03647p250"	"http://purl.org/phylo/treebase/phylows/study/TB2:S13082"	1	1	
"not in treebase"	"SERGUEI V. TRIAPITSYN, DANEL B. VICKERMAN, JOHN M. HERATY & GUILLERMO A. LOGARZO"	2006	"A new species of Gonatocerus (Hymenoptera: Mymaridae) parasitic on proconiine sharpshooters (Hemiptera: Cicadellidae) in the New World"	" Zootaxa"	"zt01158p067"		1	0	
"not in treebase"	"AARON M. T. HARMER & VOLKER W. FRAMENAU"	2008	"Telaprocera (Araneae: Araneidae), a new genus of Australian orb-web spiders with highly elongated webs"	" Zootaxa"	"zt01956p080"		1	0	
"Refers to previous analysis: S2048"	"JUAN M. GUAYASAMIN, SANTIAGO CASTROVIEJO-FISHER, LINDA TRUEB, JOSÉ AYARZAGÜENA, MARCO RADA & CARLES VILÀ"	2009	"Phylogenetic systematics of Glassfrogs (Amphibia: Centrolenidae) and their sister taxon Allophryne ruthveni"	" Zootaxa"	"zt02100p097"		1	1	
"not in treebase"	"Peter H. Kerr"	2010	"Phylogeny and classification of Rhagionidae, with implications for Tabanomorpha (Diptera: Brachycera)"	" Zootaxa"	"zt02592p133"		1	0	
"not in treebase"	"ARNE NYGREN TOBIAS SUNDKVIST BARBARA MIKAC & FREDRIK PLEIJEL"	2010	"Two new and two poorly known autolytines (Polychaeta: Syllidae) from Madeira and the Mediterranean Se"	" Zootaxa"	"zt02640p052"		1	0	
"not in treebase"	"SASKIA BRIX TORBEN RIEHL & FLORIAN LEESE"	2011	"First genetic data for species of the genus Haploniscus Richardson, 1908 (Isopoda: Asellota: Haploniscidae) from neighbouring deep-sea basins in the South Atlantic"	" Zootaxa"	"zt02838p084"		1	0	
"not in treebase"	"THOMAS R. PRENTICE & RICHARD A. REDAK"	2012	"Esophyllas, a new genus of erigonine spiders from southern California (Araneae: Linyphiidae: Erigoninae)"	" Zootaxa"	"zt03265p021"		1	0	
"not in treebase"	"LESLEY A. BALLANTYNE & CHRISTINE L. LAMBKIN"	2013	"Systematics and Phylogenetics of Indo-Pacific Luciolinae Fireflies (Coleoptera: Lampyridae) and the Description of new Genera"	" Zootaxa"	"zt03653p162"		1	0	
