			" A 200 journal subsample (out of 1082 total) of journals from these subject catergories in Thomson Reuters JCR: ANATOMY & MORPHOLOGY; BEHAVIORAL SCIENCES; BIOCHEMISTRY & MOLECULAR BIOLOGY; BIODIVERSITY CONSERVATION; BIOLOGY; ECOLOGY; ENTOMOLOGY; EVOLUTIONARY BIOLOGY; PALEONTOLOGY; PARASITOLOGY; PLANT SCIENCES; VIROLOGY; ZOOLOGY"					
		"Journal Name"	"ISSN"	"Number of articles in a year"		"median number of articles per year per journal"	"mean number of articles"	"total number of articles"
		"BRAIN STRUCT FUNCT"	"1863-2653"	55				
		"AFR J ECOL"	"0141-6707"	57				
		"AM BIOL TEACH"	"0002-7685"	57				
		"BREEDING SCI"	"1344-7610"	57				
		"CAN J PLANT PATHOL"	"0706-0661"	57				
		"BMC BIOL"	"1741-7007"	59				
		"COGN AFFECT BEHAV NE"	"1530-7026"	59				
		"BIOL RHYTHM RES"	"0929-1016"	60				
		"BOT MAR"	"0006-8055"	60				
		"APPL ENTOMOL ZOOL"	"0003-6862"	61				
		"ANAT HISTOL EMBRYOL"	"0340-2096"	62				
		"ANIM CELLS SYST"	"1976-8354"	62				
		"AQUAT INVASIONS"	"1798-6540"	62				
		"ACTA PALAEONTOL POL"	"0567-7920"	64				
		"ANN BOT FENN"	"0003-3847"	66				
		"ANN HUM BIOL"	"0301-4460"	66				
		"APIDOLOGIE"	"0044-8435"	66				
		"CAN ENTOMOL"	"0008-347X"	66				
		"ARTHROPOD-PLANT INTE"	"1872-8855"	67				
		"COMPARATIVE MED"	"1532-0820"	68				
		"AM MIDL NAT"	"0003-0031"	69				
		"AUST J BOT"	"0067-1924"	69				
		"AUSTRALAS PLANT PATH"	"0815-3191"	72				
		"BIOELECTROMAGNETICS"	"0197-8462"	72				
		"BIOCONTROL"	"1386-6141"	75				
		"CHEM SENSES"	"0379-864X"	75				
		"BIOMETRIKA"	"0006-3444"	76				
		"ANIM CONSERV"	"1367-9430"	79				
		"ANN ANAT"	"0940-9602"	79				
		"B ENTOMOL RES"	"0007-4853"	79				
		"ACTA BIOL HUNG"	"0236-5383"	80				
		"BIOSCIENCE"	"0006-3568"	81				
		"APPL IMMUNOHISTO M M"	"1062-3345"	83				
		"ACTA ENT MUS NAT PRA"	"0374-1036"	84				
		"AQUAT BOT"	"0304-3770"	86				
		"ACTA ZOOL BULGAR"	"0324-0770"	89				
		"BOT J LINN SOC"	"0024-4074"	91				
		"ACTA OECOL"	"1146-609X"	96				
		"ASTROBIOLOGY"	"1531-1074"	98				
		"AUSTRAL ECOL"	"1442-9985"	98				
		"BIOSYSTEMS"	"0303-2647"	98				
		"ACTA BOT BRAS"	"0102-3306"	99				
		"ANIM WELFARE"	"0962-7286"	99				
		"ANN ENTOMOL SOC AM"	"0013-8746"	99				
		"CELLS TISSUES ORGANS"	"1422-6405"	99				
		"COMP BIOCHEM PHYS C"	"1532-0456"	100				
		"BIOTROPICA"	"0006-3606"	102				
		"COMP BIOCHEM PHYS B"	"1096-4959"	103				
		"BIOELECTROCHEMISTRY"	"1567-5394"	105				
		"BIOTA NEOTROP"	"1676-0603"	105				
		"AM J PRIMATOL"	"0275-2565"	107				
		"BIOL BULL+"	"1062-3590"	108				
		"AM J HUM BIOL"	"1042-0533"	111				
		"BRAZ J BIOL"	"1519-6984"	114				
		"CONSERV BIOL"	"0888-8892"	114				
		"BIOCONTROL SCI TECHN"	"0958-3157"	115				
		"ANIM COGN"	"1435-9448"	116				
		"BRAZ ARCH BIOL TECHN"	"1516-8913"	120				
		"CENT EUR J BIOL"	"1895-104X"	120				
		"CAN J PLANT SCI"	"0008-4220"	122				
		"CELL HOST MICROBE"	"1931-3128"	122				
		"BOTANY"	"1916-2790"	123				
		"BIOL PLANTARUM"	"0006-3134"	124				
